t,nrm2_exp_tC
0.0,1.0
0.010101010101010102,2.6959374776453577
0.020202020202020204,4.615082447443808
0.030303030303030304,6.369505952195365
0.04040404040404041,7.917500524893169
0.050505050505050504,9.265973922945566
0.06060606060606061,10.430539644084735
0.0707070707070707,11.428134105508741
0.08080808080808081,12.275130904672508
0.09090909090909091,12.986794381184058
0.10101010101010101,13.57714412811836
0.1111111111111111,14.05896424361914
0.12121212121212122,14.443866657763044
0.13131313131313133,14.742373692989831
0.1414141414141414,14.96400532809083
0.15151515151515152,15.11736482476884
0.16161616161616163,15.210219947429502
0.1717171717171717,15.249578658891954
0.18181818181818182,15.241758969954487
0.1919191919191919,15.192453010863893
0.20202020202020202,15.106785582205438
0.21212121212121213,14.989367529228959
0.2222222222222222,14.844344315981205
0.23232323232323232,14.675440179182376
0.24242424242424243,14.485998230156035
0.25252525252525254,14.279016853763917
0.26262626262626265,14.057182730390487
0.2727272727272727,13.822900782921721
0.2828282828282828,13.578321326700653
0.29292929292929293,13.325364677349967
0.30303030303030304,13.065743449520276
0.31313131313131315,12.800982759225924
0.32323232323232326,12.532438523535191
0.3333333333333333,12.261314033969835
0.3434343434343434,11.988674963989517
0.35353535353535354,11.715462956312669
0.36363636363636365,11.442507922470323
0.37373737373737376,11.170539174811353
0.3838383838383838,10.90019550008744
0.3939393939393939,10.632034273652879
0.40404040404040403,10.366539704138063
0.41414141414141414,10.104130290115654
0.42424242424242425,9.845165562702329
0.43434343434343436,9.589952181158502
0.4444444444444444,9.338749442303602
0.45454545454545453,9.091774258894441
0.46464646464646464,8.849205656970247
0.47474747474747475,8.611188837500524
0.48484848484848486,8.377838843435528
0.494949494949495,8.149243869421081
0.5050505050505051,7.925468247950458
0.5151515151515151,7.706555142571473
0.5252525252525253,7.492528975895393
0.5353535353535354,7.283397617560621
0.5454545454545454,7.079154354943007
0.5555555555555556,6.879779667270501
0.5656565656565656,6.685242821861145
0.5757575757575758,6.495503309446626
0.5858585858585859,6.310512133951276
0.5959595959595959,6.130212970651197
0.6060606060606061,5.954543205331105
0.6161616161616161,5.783434865867424
0.6262626262626263,5.616815456591568
0.6363636363636364,5.454608704812181
0.6464646464646465,5.296735227989973
0.6565656565656566,5.143113129258757
0.6666666666666666,4.993658528258886
0.6767676767676768,4.848286033591618
0.6868686868686869,4.7069091626058555
0.696969696969697,4.569440713688086
0.7070707070707071,4.435793095736031
0.7171717171717171,4.305878619053527
0.7272727272727273,4.179609751498301
0.7373737373737373,4.056899343355334
0.7474747474747475,3.937660824071217
0.7575757575757576,3.821808373690969
0.7676767676767676,3.7092570715649353
0.7777777777777778,3.5999230246468152
0.7878787878787878,3.4937234774841808
0.797979797979798,3.390576905797189
0.8080808080808081,3.290403095362328
0.8181818181818182,3.1931232077490748
0.8282828282828283,3.0986598343105167
0.8383838383838383,3.006937039690005
0.8484848484848485,2.9178803959867765
0.8585858585858586,2.831417008607873
0.8686868686868687,2.74747553473711
0.8787878787878788,2.665986195256947
0.8888888888888888,2.5868807808794836
0.898989898989899,2.5100926531655943
0.9090909090909091,2.435556741045837
0.9191919191919192,2.363209533393482
0.9292929292929293,2.292989068146295
0.9393939393939394,2.224834918422448
0.9494949494949495,2.158688176031287
0.9595959595959596,2.094491432738643
0.9696969696969697,2.032188759609177
0.9797979797979798,1.9717256847144082
0.98989898989899,1.913049169465978
1.0,1.856107583805049
